Date,Total_New_Installs,Avg_Uninstall_Rate,Total_DAU,Total_Unique_Page_Views,Total_Order_Comp
2021-09-01,4,42.220000,13,4098,460
2021-09-02,5,25.350000,15,5068,521
2021-09-03,6,14.900000,15,4669,311
2021-09-04,6,22.220000,17,5023,435
2021-09-05,5,20.920000,18,4599,438
2021-09-06,6,19.340000,16,4190,427
2021-09-07,7,19.410000,18,4605,363
2021-09-08,4,27.820000,14,4295,524
2021-09-09,5,27.000000,16,4342,455
2021-09-10,6,34.880000,17,3938,388
2021-09-11,8,40.970000,19,4667,471
2021-09-12,8106,35.380000,18,4341,302
2021-09-13,7,14.630000,17,4399,251
2021-09-14,7,18.430000,19,4193,289
2021-09-15,7,37.530000,16,4631,308
2021-09-16,6,21.110000,21,4819,337
2021-09-17,7,16.360000,19,5585,470
2021-09-18,6,25.820000,20,4677,443
2021-09-19,7,30.150000,24,5254,493
2021-09-20,6,22.110000,21,5003,458
2021-09-21,4,30.160000,16,4487,269
2021-09-22,8,20.160000,19,4603,413
2021-09-23,7292,28.540000,16,4107,273
2021-09-24,6,19.810000,16,4426,214
2021-09-25,6,30.670000,16,4653,289
2021-09-26,5,28.890000,19,5214,283
2021-09-28,6,16.870000,15,4386,368
2021-09-29,5,23.480000,15,5019,315
2021-09-30,8040,42.980000,18,4621,400
2021-10-01,3,18.880000,13,3709,345
2021-10-02,6,48.980000,16,3803,372
2021-10-03,3,42.060000,13,4243,342
2021-10-04,4,33.130000,16,4100,277
2021-10-05,4,38.050000,11,4066,355
2021-10-06,4119,37.100000,14,4564,521
2021-10-07,5013,30.770000,15,4289,281
2021-10-08,4,31.090000,13,3256,323
2021-10-09,5,23.680000,13,4501,460
2021-10-10,5,17.780000,12,4263,309
2021-10-11,5,29.350000,14,4706,385
2021-10-12,5,19.300000,14,5398,365
2021-10-13,3892,19.130000,13,3686,355
2021-10-14,4146,14.770000,12,3948,382
2021-10-15,4844,18.550000,13,4461,542
2021-10-16,4882,21.000000,15,4560,396
2021-10-17,4896,17.150000,16,6775,532
2021-10-18,4,25.830000,16,6252,578
2021-10-20,6,30.970000,18,6824,560
2021-10-21,7,39.940000,23,7955,480
2021-10-23,9,24.420000,22,6532,698
2021-10-24,5744,38.550000,20,7448,552
2021-11-04,4750,21.360000,13,4020,507
2021-11-05,5681,38.470000,20,4234,562
2021-11-06,7,47.400000,18,5399,581
2021-11-07,4901,31.890000,16,3980,592
2021-11-13,8,47.530000,22,8429,322
2021-11-30,5,66.090000,16,3459,171
2021-12-01,7,26.250000,24,5671,337
